Дата;Магазин;Город;Товар;Категория;Количество. кг;Стоимость. руб.
04.02.2010;Алтын;Ковров;Апельсины;Фрукты;9.8;627.2
02.12.2014;Первый продуктовый;Гусь-Хрустальный;Виноград;Фрукты;2.9;356.7
03.04.2014;Провиант;Владимир;Капуста;Овощи;4.9;132.3
07.03.2014;Алтын;Ковров;Апельсины;Фрукты;17.3;1107.2
11.02.2010;Полтинник;Гусь-Хрустальный;Томаты;Овощи;3.7;296
21.03.2015;Авоська;Владимир;Бананы;Фрукты;3.1;173.6
24.02.2014;Авоська;Владимир;Виноград;Фрукты;8.9;1094.7
10.07.2012;Первый продуктовый;Гусь-Хрустальный;Огурцы;Овощи;9.7;475.3
10.02.2014;Авоська;Владимир;Огурцы;Овощи;4.6;225.4
21.04.2013;Авоська;Владимир;Томаты;Овощи;11.9;952
19.08.2014;Алтын;Ковров;Яблоки;Фрукты;14.3;986.7
21.06.2014;Сельпо;Ковров;Капуста;Овощи;16.5;445.5
23.07.2011;Полтинник;Гусь-Хрустальный;Виноград;Фрукты;12.3;1512.9
29.10.2014;Копеечка;Ковров;Груши;Фрукты;9.4;733.2
18.08.2015;Провиант;Владимир;Баклажаны;Овощи;2.8;369.6
09.09.2010;Росвкус;Владимир;Картофель;Овощи;7.9;276.5
03.05.2014;Деревенский;Гусь-Хрустальный;Бананы;Фрукты;9.5;532
31.01.2012;Сельпо;Ковров;Баклажаны;Овощи;7.4;976.8
27.09.2010;Полтинник;Гусь-Хрустальный;Картофель;Овощи;6.6;231
06.04.2015;Деревенский;Гусь-Хрустальный;Виноград;Фрукты;1.1;135.3
10.07.2013;Копеечка;Ковров;Груши;Фрукты;5;390
06.04.2014;Первый продуктовый;Гусь-Хрустальный;Огурцы;Овощи;10.3;504.7
26.09.2013;Первый продуктовый;Гусь-Хрустальный;Бананы;Фрукты;15.7;879.2
12.12.2012;Первый продуктовый;Гусь-Хрустальный;Огурцы;Овощи;15.3;749.7
26.05.2011;Сельпо;Ковров;Апельсины;Фрукты;1.9;121.6
26.02.2015;Копеечка;Ковров;Виноград;Фрукты;16.8;2066.4
04.09.2010;Полтинник;Гусь-Хрустальный;Картофель;Овощи;13.4;469
02.06.2014;Копеечка;Ковров;Капуста;Овощи;8.5;229.5
29.12.2013;Алтын;Ковров;Огурцы;Овощи;10.4;509.6
18.07.2011;Алтын;Ковров;Груши;Фрукты;19.4;1513.2
14.05.2010;Провиант;Владимир;Капуста;Овощи;11.7;315.9
27.01.2015;Деревенский;Гусь-Хрустальный;Огурцы;Овощи;14.9;730.1
21.07.2013;Копеечка;Ковров;Огурцы;Овощи;2.6;127.4
22.02.2011;Копеечка;Ковров;Яблоки;Фрукты;15.7;1083.3
11.05.2013;Деревенский;Гусь-Хрустальный;Груши;Фрукты;2.6;202.8
01.08.2014;Алтын;Ковров;Яблоки;Фрукты;8.9;614.1
14.09.2014;Копеечка;Ковров;Картофель;Овощи;2.9;101.5
16.04.2014;Алтын;Ковров;Груши;Фрукты;12.8;998.4
13.08.2013;Алтын;Ковров;Огурцы;Овощи;4;196
20.08.2011;Деревенский;Гусь-Хрустальный;Бананы;Фрукты;15.3;856.8
13.11.2013;Авоська;Владимир;Картофель;Овощи;18.5;647.5
30.03.2015;Копеечка;Ковров;Капуста;Овощи;3;81
09.04.2015;Авоська;Владимир;Апельсины;Фрукты;3.2;204.8
26.03.2015;Авоська;Владимир;Огурцы;Овощи;18.8;921.2
17.04.2014;Сельпо;Ковров;Виноград;Фрукты;3.3;405.9
19.07.2012;Деревенский;Гусь-Хрустальный;Томаты;Овощи;17.7;1416
15.10.2013;Провиант;Владимир;Томаты;Овощи;13.4;1072
18.07.2013;Сельпо;Ковров;Апельсины;Фрукты;10.5;672
10.05.2015;Сельпо;Ковров;Огурцы;Овощи;1.1;53.9
10.03.2014;Авоська;Владимир;Томаты;Овощи;11.9;952
15.08.2012;Алтын;Ковров;Бананы;Фрукты;6.9;386.4
13.01.2012;Авоська;Владимир;Картофель;Овощи;1.2;42
16.09.2015;Полтинник;Гусь-Хрустальный;Апельсины;Фрукты;19.9;1273.6
05.01.2010;Копеечка;Ковров;Огурцы;Овощи;15.6;764.4
31.07.2013;Полтинник;Гусь-Хрустальный;Виноград;Фрукты;1.2;147.6
12.04.2011;Провиант;Владимир;Картофель;Овощи;10;350
01.09.2012;Деревенский;Гусь-Хрустальный;Яблоки;Фрукты;2.4;165.6
08.08.2010;Авоська;Владимир;Картофель;Овощи;18.9;661.5
17.09.2011;Копеечка;Ковров;Огурцы;Овощи;19.2;940.8
10.05.2011;Росвкус;Владимир;Картофель;Овощи;10;350
30.05.2015;Деревенский;Гусь-Хрустальный;Апельсины;Фрукты;19.1;1222.4
28.09.2011;Авоська;Владимир;Груши;Фрукты;17.1;1333.8
13.07.2014;Провиант;Владимир;Баклажаны;Овощи;15.1;1993.2
14.11.2014;Копеечка;Ковров;Виноград;Фрукты;4.8;590.4
15.11.2011;Провиант;Владимир;Баклажаны;Овощи;19;2508
02.06.2011;Первый продуктовый;Гусь-Хрустальный;Картофель;Овощи;10.5;367.5
03.10.2010;Первый продуктовый;Гусь-Хрустальный;Груши;Фрукты;1.6;124.8
08.03.2014;Копеечка;Ковров;Апельсины;Фрукты;16.2;1036.8
11.04.2012;Деревенский;Гусь-Хрустальный;Бананы;Фрукты;1.6;89.6
30.04.2015;Провиант;Владимир;Картофель;Овощи;11;385
09.11.2012;Полтинник;Гусь-Хрустальный;Виноград;Фрукты;3.2;393.6
20.02.2013;Сельпо;Ковров;Апельсины;Фрукты;16.9;1081.6
16.02.2015;Авоська;Владимир;Картофель;Овощи;16.7;584.5
03.03.2015;Деревенский;Гусь-Хрустальный;Томаты;Овощи;1.7;136
05.12.2014;Росвкус;Владимир;Яблоки;Фрукты;11;759
26.06.2015;Копеечка;Ковров;Яблоки;Фрукты;3.2;220.8
13.10.2014;Провиант;Владимир;Томаты;Овощи;6.6;528
22.07.2013;Алтын;Ковров;Яблоки;Фрукты;1.3;89.7
02.08.2015;Росвкус;Владимир;Яблоки;Фрукты;0.6;41.4
24.12.2012;Деревенский;Гусь-Хрустальный;Апельсины;Фрукты;12.6;806.4
05.02.2015;Сельпо;Ковров;Картофель;Овощи;13.7;479.5
08.10.2013;Росвкус;Владимир;Груши;Фрукты;5.5;429
01.10.2010;Полтинник;Гусь-Хрустальный;Капуста;Овощи;7.6;205.2
08.07.2013;Полтинник;Гусь-Хрустальный;Баклажаны;Овощи;17.1;2257.2
10.09.2012;Деревенский;Гусь-Хрустальный;Бананы;Фрукты;14.3;800.8
03.12.2013;Авоська;Владимир;Капуста;Овощи;7.3;197.1
24.05.2015;Сельпо;Ковров;Картофель;Овощи;2.3;80.5
27.11.2013;Росвкус;Владимир;Яблоки;Фрукты;2.2;151.8
17.08.2015;Копеечка;Ковров;Огурцы;Овощи;10.6;519.4
11.04.2014;Росвкус;Владимир;Груши;Фрукты;14.9;1162.2
17.12.2011;Копеечка;Ковров;Капуста;Овощи;3.8;102.6
05.01.2011;Полтинник;Гусь-Хрустальный;Апельсины;Фрукты;2.1;134.4
20.01.2010;Первый продуктовый;Гусь-Хрустальный;Апельсины;Фрукты;8.4;537.6
26.12.2013;Сельпо;Ковров;Яблоки;Фрукты;12.3;848.7
09.11.2014;Копеечка;Ковров;Капуста;Овощи;2.8;75.6
17.10.2013;Сельпо;Ковров;Бананы;Фрукты;9.7;543.2
28.02.2010;Полтинник;Гусь-Хрустальный;Картофель;Овощи;2.5;87.5
17.12.2011;Копеечка;Ковров;Баклажаны;Овощи;4;528
06.06.2014;Провиант;Владимир;Бананы;Фрукты;13.3;744.8
07.08.2011;Росвкус;Владимир;Капуста;Овощи;10.4;280.8
25.03.2010;Полтинник;Гусь-Хрустальный;Баклажаны;Овощи;7.1;937.2
03.04.2015;Провиант;Владимир;Капуста;Овощи;16.3;440.1
23.02.2012;Деревенский;Гусь-Хрустальный;Картофель;Овощи;4.9;171.5
17.02.2013;Авоська;Владимир;Баклажаны;Овощи;7.3;963.6
31.12.2014;Провиант;Владимир;Капуста;Овощи;1.4;37.8
29.09.2013;Первый продуктовый;Гусь-Хрустальный;Бананы;Фрукты;11.5;644
13.03.2015;Авоська;Владимир;Огурцы;Овощи;17.1;837.9
29.08.2012;Росвкус;Владимир;Груши;Фрукты;17.1;1333.8
23.09.2012;Алтын;Ковров;Апельсины;Фрукты;2.2;140.8
20.12.2011;Сельпо;Ковров;Яблоки;Фрукты;17.5;1207.5
07.01.2013;Сельпо;Ковров;Виноград;Фрукты;5;615
14.04.2011;Авоська;Владимир;Апельсины;Фрукты;12.1;774.4
12.08.2011;Первый продуктовый;Гусь-Хрустальный;Картофель;Овощи;5.2;182
14.04.2010;Сельпо;Ковров;Картофель;Овощи;10.3;360.5
20.09.2011;Деревенский;Гусь-Хрустальный;Картофель;Овощи;5.5;192.5
22.02.2014;Сельпо;Ковров;Яблоки;Фрукты;17.7;1221.3
13.01.2013;Первый продуктовый;Гусь-Хрустальный;Груши;Фрукты;16.6;1294.8
05.04.2012;Сельпо;Ковров;Баклажаны;Овощи;10.2;1346.4
03.03.2014;Сельпо;Ковров;Бананы;Фрукты;18.6;1041.6
30.05.2012;Сельпо;Ковров;Апельсины;Фрукты;1.7;108.8
24.03.2011;Копеечка;Ковров;Картофель;Овощи;12.7;444.5
05.05.2011;Алтын;Ковров;Огурцы;Овощи;7.9;387.1
07.07.2012;Деревенский;Гусь-Хрустальный;Апельсины;Фрукты;11.6;742.4
19.08.2011;Алтын;Ковров;Картофель;Овощи;11.8;413
03.02.2010;Деревенский;Гусь-Хрустальный;Томаты;Овощи;5.7;456
07.06.2010;Авоська;Владимир;Огурцы;Овощи;0.6;29.4
14.03.2011;Авоська;Владимир;Груши;Фрукты;11.8;920.4
16.09.2014;Сельпо;Ковров;Баклажаны;Овощи;6.2;818.4
31.03.2013;Авоська;Владимир;Груши;Фрукты;2.1;163.8
01.01.2012;Полтинник;Гусь-Хрустальный;Бананы;Фрукты;6.8;380.8
29.10.2010;Деревенский;Гусь-Хрустальный;Яблоки;Фрукты;16.4;1131.6
21.06.2015;Алтын;Ковров;Яблоки;Фрукты;14.9;1028.1
11.06.2011;Алтын;Ковров;Виноград;Фрукты;4.2;516.6
13.02.2014;Сельпо;Ковров;Апельсины;Фрукты;3;192
18.05.2015;Первый продуктовый;Гусь-Хрустальный;Картофель;Овощи;11.4;399
07.08.2012;Алтын;Ковров;Томаты;Овощи;3.8;304
16.03.2015;Провиант;Владимир;Яблоки;Фрукты;0.9;62.1
17.01.2011;Алтын;Ковров;Груши;Фрукты;4;312
02.05.2015;Первый продуктовый;Гусь-Хрустальный;Томаты;Овощи;15.8;1264
08.12.2010;Росвкус;Владимир;Бананы;Фрукты;1.4;78.4
08.11.2013;Сельпо;Ковров;Баклажаны;Овощи;13.2;1742.4
01.12.2013;Алтын;Ковров;Бананы;Фрукты;5.2;291.2
21.10.2010;Копеечка;Ковров;Груши;Фрукты;11.5;897
09.03.2013;Алтын;Ковров;Огурцы;Овощи;18.5;906.5
28.05.2010;Полтинник;Гусь-Хрустальный;Томаты;Овощи;7.5;600
11.04.2013;Сельпо;Ковров;Виноград;Фрукты;19.1;2349.3
10.01.2013;Авоська;Владимир;Яблоки;Фрукты;17.2;1186.8
31.08.2011;Копеечка;Ковров;Картофель;Овощи;7.3;255.5
08.11.2012;Алтын;Ковров;Груши;Фрукты;0.5;39
27.10.2010;Полтинник;Гусь-Хрустальный;Капуста;Овощи;19.9;537.3
12.05.2010;Авоська;Владимир;Огурцы;Овощи;8.5;416.5
21.08.2012;Авоська;Владимир;Груши;Фрукты;6.2;483.6
06.09.2010;Авоська;Владимир;Картофель;Овощи;5.6;196
06.07.2013;Копеечка;Ковров;Апельсины;Фрукты;18.8;1203.2
29.12.2012;Провиант;Владимир;Яблоки;Фрукты;9.9;683.1
30.12.2014;Копеечка;Ковров;Огурцы;Овощи;4.7;230.3
30.06.2015;Деревенский;Гусь-Хрустальный;Апельсины;Фрукты;17.3;1107.2
20.12.2013;Деревенский;Гусь-Хрустальный;Баклажаны;Овощи;1.3;171.6
16.11.2014;Полтинник;Гусь-Хрустальный;Апельсины;Фрукты;13.4;857.6
07.11.2010;Полтинник;Гусь-Хрустальный;Баклажаны;Овощи;4.1;541.2
08.02.2014;Копеечка;Ковров;Апельсины;Фрукты;2.5;160
15.03.2015;Первый продуктовый;Гусь-Хрустальный;Яблоки;Фрукты;5.6;386.4
25.09.2015;Полтинник;Гусь-Хрустальный;Огурцы;Овощи;17.8;872.2
27.02.2011;Алтын;Ковров;Картофель;Овощи;16.9;591.5
06.04.2011;Сельпо;Ковров;Баклажаны;Овощи;11.6;1531.2
10.08.2013;Деревенский;Гусь-Хрустальный;Апельсины;Фрукты;8.9;569.6
21.07.2012;Росвкус;Владимир;Апельсины;Фрукты;7.9;505.6
07.05.2015;Первый продуктовый;Гусь-Хрустальный;Огурцы;Овощи;3.9;191.1
11.12.2011;Копеечка;Ковров;Огурцы;Овощи;5.8;284.2
13.04.2014;Копеечка;Ковров;Апельсины;Фрукты;6.3;403.2
21.02.2014;Полтинник;Гусь-Хрустальный;Картофель;Овощи;4.7;164.5
29.06.2010;Деревенский;Гусь-Хрустальный;Бананы;Фрукты;14;784
03.12.2012;Деревенский;Гусь-Хрустальный;Яблоки;Фрукты;2.2;151.8
04.10.2011;Первый продуктовый;Гусь-Хрустальный;Картофель;Овощи;9.2;322
13.07.2010;Деревенский;Гусь-Хрустальный;Апельсины;Фрукты;11.2;716.8
01.04.2011;Росвкус;Владимир;Томаты;Овощи;0.6;48
05.08.2015;Провиант;Владимир;Капуста;Овощи;2.4;64.8
24.02.2010;Копеечка;Ковров;Бананы;Фрукты;19.4;1086.4
02.11.2014;Полтинник;Гусь-Хрустальный;Картофель;Овощи;0.5;17.5
25.08.2010;Копеечка;Ковров;Картофель;Овощи;16;560
19.05.2010;Алтын;Ковров;Виноград;Фрукты;7.3;897.9
09.01.2010;Провиант;Владимир;Яблоки;Фрукты;16.9;1166.1
12.05.2013;Провиант;Владимир;Бананы;Фрукты;4.3;240.8
13.05.2011;Полтинник;Гусь-Хрустальный;Яблоки;Фрукты;5.8;400.2
22.01.2012;Первый продуктовый;Гусь-Хрустальный;Картофель;Овощи;6.8;238
14.02.2010;Деревенский;Гусь-Хрустальный;Апельсины;Фрукты;9.8;627.2
24.10.2014;Первый продуктовый;Гусь-Хрустальный;Бананы;Фрукты;11.7;655.2
11.07.2011;Сельпо;Ковров;Бананы;Фрукты;17.2;963.2
15.05.2015;Авоська;Владимир;Виноград;Фрукты;2.4;295.2
04.04.2015;Деревенский;Гусь-Хрустальный;Яблоки;Фрукты;4.8;331.2
10.05.2013;Сельпо;Ковров;Огурцы;Овощи;4.7;230.3
06.06.2011;Копеечка;Ковров;Бананы;Фрукты;10;560
02.11.2013;Сельпо;Ковров;Бананы;Фрукты;2.2;123.2
16.09.2010;Росвкус;Владимир;Виноград;Фрукты;10.6;1303.8
13.05.2011;Копеечка;Ковров;Бананы;Фрукты;17.6;985.6
01.09.2013;Алтын;Ковров;Яблоки;Фрукты;9.1;627.9
02.07.2013;Провиант;Владимир;Апельсины;Фрукты;3.4;217.6
01.11.2010;Провиант;Владимир;Баклажаны;Овощи;15.9;2098.8
17.09.2013;Сельпо;Ковров;Бананы;Фрукты;7.2;403.2
22.12.2012;Алтын;Ковров;Бананы;Фрукты;12.7;711.2
15.04.2013;Провиант;Владимир;Баклажаны;Овощи;10.7;1412.4
09.01.2014;Авоська;Владимир;Бананы;Фрукты;11.5;644
29.06.2011;Алтын;Ковров;Яблоки;Фрукты;11.4;786.6
20.02.2014;Деревенский;Гусь-Хрустальный;Томаты;Овощи;8.4;672
12.12.2010;Сельпо;Ковров;Груши;Фрукты;4.6;358.8
20.01.2015;Полтинник;Гусь-Хрустальный;Яблоки;Фрукты;2.3;158.7
14.05.2010;Копеечка;Ковров;Картофель;Овощи;0.6;21
07.05.2014;Росвкус;Владимир;Виноград;Фрукты;18.5;2275.5
25.11.2013;Провиант;Владимир;Апельсины;Фрукты;0.5;32
09.07.2013;Сельпо;Ковров;Томаты;Овощи;9.4;752
16.03.2015;Провиант;Владимир;Яблоки;Фрукты;18.9;1304.1
16.02.2012;Полтинник;Гусь-Хрустальный;Виноград;Фрукты;14;1722
25.04.2014;Алтын;Ковров;Капуста;Овощи;18.3;494.1
19.06.2015;Копеечка;Ковров;Томаты;Овощи;6.1;488
11.02.2012;Сельпо;Ковров;Бананы;Фрукты;14.1;789.6
17.02.2014;Провиант;Владимир;Виноград;Фрукты;19.5;2398.5
25.02.2015;Полтинник;Гусь-Хрустальный;Апельсины;Фрукты;19.4;1241.6
24.09.2015;Росвкус;Владимир;Картофель;Овощи;9.9;346.5
24.09.2010;Авоська;Владимир;Виноград;Фрукты;9.3;1143.9
09.06.2010;Провиант;Владимир;Баклажаны;Овощи;6.7;884.4
14.02.2013;Авоська;Владимир;Груши;Фрукты;12.4;967.2
22.05.2012;Первый продуктовый;Гусь-Хрустальный;Бананы;Фрукты;17.9;1002.4
07.09.2015;Деревенский;Гусь-Хрустальный;Капуста;Овощи;9;243
29.12.2011;Сельпо;Ковров;Огурцы;Овощи;12.6;617.4
30.04.2014;Росвкус;Владимир;Томаты;Овощи;10.3;824
09.02.2010;Копеечка;Ковров;Капуста;Овощи;13.9;375.3
31.10.2013;Деревенский;Гусь-Хрустальный;Баклажаны;Овощи;3.6;475.2
23.12.2014;Сельпо;Ковров;Картофель;Овощи;7.5;262.5
29.05.2014;Полтинник;Гусь-Хрустальный;Огурцы;Овощи;7.2;352.8
15.08.2011;Сельпо;Ковров;Огурцы;Овощи;10.9;534.1
28.12.2013;Авоська;Владимир;Апельсины;Фрукты;19.2;1228.8
05.11.2013;Деревенский;Гусь-Хрустальный;Баклажаны;Овощи;4.4;580.8
05.01.2012;Провиант;Владимир;Картофель;Овощи;19.6;686
06.02.2015;Алтын;Ковров;Капуста;Овощи;12.8;345.6
21.12.2014;Провиант;Владимир;Баклажаны;Овощи;4;528
20.10.2012;Авоська;Владимир;Виноград;Фрукты;16.8;2066.4
25.09.2012;Полтинник;Гусь-Хрустальный;Виноград;Фрукты;5.2;639.6
28.08.2015;Авоська;Владимир;Баклажаны;Овощи;1.5;198
08.07.2013;Провиант;Владимир;Картофель;Овощи;1;35
25.03.2013;Алтын;Ковров;Томаты;Овощи;8.8;704
11.11.2011;Сельпо;Ковров;Апельсины;Фрукты;2;128
22.01.2010;Алтын;Ковров;Баклажаны;Овощи;2.3;303.6
30.04.2011;Первый продуктовый;Гусь-Хрустальный;Груши;Фрукты;6.6;514.8
25.10.2011;Росвкус;Владимир;Томаты;Овощи;11.8;944
04.12.2010;Алтын;Ковров;Яблоки;Фрукты;9;621
25.01.2011;Сельпо;Ковров;Апельсины;Фрукты;13.2;844.8
24.05.2010;Росвкус;Владимир;Яблоки;Фрукты;17.6;1214.4
03.04.2013;Первый продуктовый;Гусь-Хрустальный;Огурцы;Овощи;2.3;112.7
11.12.2013;Первый продуктовый;Гусь-Хрустальный;Томаты;Овощи;7.5;600
19.05.2011;Сельпо;Ковров;Томаты;Овощи;18.5;1480
12.10.2013;Деревенский;Гусь-Хрустальный;Апельсины;Фрукты;2;128
15.06.2014;Сельпо;Ковров;Баклажаны;Овощи;10.7;1412.4
06.06.2014;Полтинник;Гусь-Хрустальный;Картофель;Овощи;13.3;465.5
09.06.2013;Алтын;Ковров;Яблоки;Фрукты;1.2;82.8
04.05.2014;Сельпо;Ковров;Картофель;Овощи;17.8;623
01.02.2015;Полтинник;Гусь-Хрустальный;Апельсины;Фрукты;13.7;876.8
30.04.2012;Копеечка;Ковров;Бананы;Фрукты;19.7;1103.2
17.08.2013;Росвкус;Владимир;Бананы;Фрукты;9;504
19.02.2012;Авоська;Владимир;Баклажаны;Овощи;10.9;1438.8
04.05.2014;Деревенский;Гусь-Хрустальный;Томаты;Овощи;15.8;1264
08.07.2010;Копеечка;Ковров;Огурцы;Овощи;5.3;259.7
07.07.2012;Сельпо;Ковров;Картофель;Овощи;13.4;469
26.03.2011;Сельпо;Ковров;Бананы;Фрукты;3.6;201.6
25.04.2014;Росвкус;Владимир;Баклажаны;Овощи;11.4;1504.8
18.05.2015;Росвкус;Владимир;Баклажаны;Овощи;2.3;303.6
30.03.2014;Первый продуктовый;Гусь-Хрустальный;Виноград;Фрукты;8.2;1008.6
18.11.2010;Копеечка;Ковров;Томаты;Овощи;15.8;1264
07.02.2015;Деревенский;Гусь-Хрустальный;Томаты;Овощи;11;880
12.03.2013;Деревенский;Гусь-Хрустальный;Бананы;Фрукты;7;392
26.07.2014;Копеечка;Ковров;Апельсины;Фрукты;19.9;1273.6
21.04.2015;Копеечка;Ковров;Капуста;Овощи;3.4;91.8
12.03.2014;Провиант;Владимир;Огурцы;Овощи;15.4;754.6
15.08.2013;Копеечка;Ковров;Капуста;Овощи;0.9;24.3
02.12.2012;Деревенский;Гусь-Хрустальный;Томаты;Овощи;18.8;1504
19.07.2014;Копеечка;Ковров;Картофель;Овощи;18.5;647.5
24.07.2010;Деревенский;Гусь-Хрустальный;Яблоки;Фрукты;19.4;1338.6
05.08.2013;Деревенский;Гусь-Хрустальный;Яблоки;Фрукты;8.5;586.5
21.12.2013;Провиант;Владимир;Бананы;Фрукты;5.6;313.6
23.02.2015;Копеечка;Ковров;Капуста;Овощи;19.4;523.8
31.03.2012;Росвкус;Владимир;Яблоки;Фрукты;9.6;662.4
12.09.2012;Авоська;Владимир;Груши;Фрукты;14.2;1107.6
15.11.2011;Деревенский;Гусь-Хрустальный;Баклажаны;Овощи;5.3;699.6
27.06.2013;Провиант;Владимир;Яблоки;Фрукты;2.1;144.9
03.10.2011;Авоська;Владимир;Виноград;Фрукты;11.9;1463.7
16.05.2011;Копеечка;Ковров;Груши;Фрукты;15.4;1201.2
21.09.2014;Полтинник;Гусь-Хрустальный;Огурцы;Овощи;19.9;975.1
